Day,Date,Sentiment
0,2/17/2020,0.141513317
1,2/18/2020,0.096678719
2,2/19/2020,0.094962121
3,2/20/2020,0.067242506
4,2/21/2020,0.226557239
5,2/22/2020,0.044254940
6,2/23/2020,-0.016812558
7,2/24/2020,0.109339827
8,2/25/2020,-0.002993458
9,2/26/2020,0.040378788
10,2/27/2020,0.087693291
11,2/28/2020,0.147534599
12,2/29/2020,-0.044444444
13,3/1/2020,0.161319930
14,3/2/2020,0.097031297
15,3/3/2020,0.109305935
16,3/4/2020,-0.005333333
17,3/5/2020,0.069834055
18,3/6/2020,0.167510390
19,3/7/2020,-0.098039216
20,3/8/2020,0.106832211
21,3/9/2020,0.006836420
22,3/10/2020,0.114379371
23,3/11/2020,0.189598214
24,3/12/2020,0.096621622
25,2/13/2020,0.238368056
26,3/14/2020,0.366666667
27,3/15/2020,0.025877193
28,3/16/2020,0.105021226
29,3/17/2020,0.312885154
30,3/18/2020,0.120521390
31,3/19/2020,0.140140056
32,3/20/2020,-0.074094203
33,3/21/2020,0.208955939
34,3/22/2020,0.043790850
35,3/23/2020,0.081002331
36,3/24/2020,0.204835116
37,3/25/2020,0.176190476
38,3/26/2020,0.090384615
39,3/27/2020,0.130781250
40,3/28/2020,0.385000000
41,3/29/2020,0.048148148
42,3/30/2020,0.297916667
43,3/31/2020,0.325438596
44,4/1/2020,0.104545455
45,4/2/2020,0.189204545
46,4/3/2020,0.172777778
47,4/4/2020,0.078896104
48,4/5/2020,0.267948718
49,4/6/2020,-0.012925170
50,4/7/2020,0.084835859
51,4/8/2020,0.159722222
52,4/9/2020,0.128958333
53,4/10/2020,0.050000000
54,4/11/2020,0.176388889
55,4/12/2020,0.103968254
56,4/13/2020,0.008916171
57,4/14/2020,0.049300831
58,4/15/2020,0.150798611
59,4/16/2020,0.164177489
60,4/17/2020,0.299090909
61,4/18/2020,0.166666667
62,4/19/2020,0.296875000
63,4/20/2020,0.221153846
64,4/21/2020,0.098997105
65,4/22/2020,0.011887255
66,4/23/2020,0.123327664
67,4/27/2020,0.069212963
68,4/27/2020,0.119078947
69,4/26/2020,0.165601504
70,4/27/2020,0.187359708
71,4/28/2020,-0.043297101
72,4/29/2020,0.116666667
73,4/30/2020,0.061607143
74,5/1/2020,0.022101449
75,5/2/2020,0.079166667
76,5/3/2020,0.054166667
